model,resolved_model,reasoning,dialect,family,modality,difficulty,reasoning_subset,protocol,n,valid,correct,input_tokens,output_tokens,reasoning_tokens,cost_usd,latency_ms,accuracy,accuracy_ci_low,accuracy_ci_high,valid_rate
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,embedding.center-clause-plain-v1,embedding,text,1. easy,True,reduce-taught-v1,4,4,2,939,434,388,0.000442875,66115.668,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,embedding.center-clause-plain-v1,embedding,text,2. medium,True,reduce-infer-v1,2,2,1,467,237,214,0.000236125,33759.958,0.5,0.09453120573423074,0.9054687942657693,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,embedding.center-clause-plain-v1,embedding,text,2. medium,True,reduce-taught-v1,2,2,0,501,269,245,0.000264375,33014.64,0.0,0.0,0.6576197724933469,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,enclosure.plain-v1,enclosure,image,1. easy,True,reduce-infer-v1,4,4,0,5056,464,416,0.000980,121407.756,0.0,0.0,0.4898908364545973,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,enclosure.plain-v1,enclosure,image,1. easy,True,reduce-taught-v1,4,4,4,5128,536,492,0.00104300,74381.693,1.0,0.5101091635454027,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,enclosure.plain-v1,enclosure,image,2. medium,True,reduce-infer-v1,1,1,0,1264,116,104,0.000245,16611.440000000002,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,enclosure.plain-v1,enclosure,image,2. medium,True,reduce-taught-v1,1,1,1,1282,134,123,0.00026075,16584.043999999998,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,graph.plain-v1,graph,image,1. easy,True,reduce-infer-v1,4,4,2,5056,464,418,0.00098000,74977.894,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,graph.plain-v1,graph,image,1. easy,True,reduce-taught-v1,4,4,3,5132,470,425,0.000994000,68676.806,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,graph.plain-v1,graph,image,2. medium,True,reduce-infer-v1,1,1,0,1264,117,105,0.00024575,17467.619,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,graph.plain-v1,graph,image,2. medium,True,reduce-taught-v1,1,1,0,1283,117,105,0.000248125,16759.352,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,map-centred.plain-v1,map_centred,image,1. easy,True,reduce-infer-v1,4,4,0,5056,472,424,0.00098600,71331.989,0.0,0.0,0.4898908364545973,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,map-centred.plain-v1,map_centred,image,1. easy,True,reduce-taught-v1,4,4,2,5120,447,401,0.00097525,67280.052,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,map-centred.plain-v1,map_centred,image,2. medium,True,reduce-infer-v1,1,1,0,1264,116,104,0.000245,16732.935999999998,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,map-centred.plain-v1,map_centred,image,2. medium,True,reduce-taught-v1,1,1,1,1280,114,103,0.0002455,18480.189,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,map.plain-v1,map,image,1. easy,True,reduce-infer-v1,4,4,2,5056,442,396,0.0009635,69040.434,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,map.plain-v1,map,image,1. easy,True,reduce-taught-v1,4,4,2,5124,459,413,0.000984750,68096.625,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,map.plain-v1,map,image,2. medium,True,reduce-infer-v1,1,1,0,1264,120,108,0.000248,17585.728,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,map.plain-v1,map,image,2. medium,True,reduce-taught-v1,1,1,1,1281,99,88,0.000234375,16189.507,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.jitter-v1,parens,text,1. easy,True,reduce-infer-v1,4,4,3,751,507,462,0.000474125,65201.259,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.jitter-v1,parens,text,1. easy,True,reduce-taught-v1,4,4,3,815,501,456,0.000477625,65339.294,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.jitter-v1,parens,text,2. medium,True,reduce-infer-v1,2,2,1,386,263,240,0.000245500,32514.162000000004,0.5,0.09453120573423074,0.9054687942657693,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.jitter-v1,parens,text,2. medium,True,reduce-taught-v1,2,2,1,418,248,225,0.000238250,32354.233,0.5,0.09453120573423074,0.9054687942657693,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.noisy-mismatched-v1,parens,text,1. easy,True,reduce-infer-v1,4,4,1,777,523,476,0.000489375,66029.011,0.25,0.04558726080970055,0.6993581574175981,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.noisy-mismatched-v1,parens,text,1. easy,True,reduce-taught-v1,4,4,1,841,514,467,0.000490625,65018.022,0.25,0.04558726080970055,0.6993581574175981,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.noisy-mismatched-v1,parens,text,2. medium,True,reduce-infer-v1,2,2,0,401,270,246,0.000252625,32554.190000000002,0.0,0.0,0.6576197724933469,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.noisy-mismatched-v1,parens,text,2. medium,True,reduce-taught-v1,2,2,1,433,285,268,0.000267875,33187.843,0.5,0.09453120573423074,0.9054687942657693,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.noisy-v1,parens,text,1. easy,True,reduce-infer-v1,4,4,2,765,468,427,0.000446625,66838.943,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.noisy-v1,parens,text,1. easy,True,reduce-taught-v1,4,4,2,829,473,427,0.000458375,65323.426,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.noisy-v1,parens,text,2. medium,True,reduce-infer-v1,2,2,0,397,261,242,0.000245375,32243.360999999997,0.0,0.0,0.6576197724933469,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.noisy-v1,parens,text,2. medium,True,reduce-taught-v1,2,2,1,429,250,227,0.000241125,32548.424999999996,0.5,0.09453120573423074,0.9054687942657693,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.reference-v1,parens,text,1. easy,True,reduce-infer-v1,4,4,3,745,501,457,0.000468875,66205.909,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.reference-v1,parens,text,1. easy,True,reduce-taught-v1,4,4,2,809,485,439,0.000464875,64834.251000000004,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.reference-v1,parens,text,2. medium,True,reduce-infer-v1,2,2,1,376,252,229,0.000236,32881.628,0.5,0.09453120573423074,0.9054687942657693,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.reference-v1,parens,text,2. medium,True,reduce-taught-v1,1,1,0,206,128,116,0.00012175,16269.919999999998,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.word-brackets-mismatched-v1,parens,text,1. easy,True,reduce-infer-v1,4,4,2,782,452,409,0.00043675,65086.20700000001,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.word-brackets-mismatched-v1,parens,text,1. easy,True,reduce-taught-v1,4,4,3,854,440,400,0.00043675,65329.72900000001,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.word-brackets-mismatched-v1,parens,text,2. medium,True,reduce-infer-v1,1,1,0,208,118,106,0.0001145,16900.596,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.word-brackets-mismatched-v1,parens,text,2. medium,True,reduce-taught-v1,1,1,0,226,109,97,0.00011,16255.417000000001,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.word-brackets-plain-v1,parens,text,1. easy,True,reduce-infer-v1,4,4,0,782,525,478,0.00049150,65826.987,0.0,0.0,0.4898908364545973,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.word-brackets-plain-v1,parens,text,1. easy,True,reduce-taught-v1,4,4,1,854,492,445,0.00047575,65241.603,0.25,0.04558726080970055,0.6993581574175981,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.word-brackets-plain-v1,parens,text,2. medium,True,reduce-infer-v1,1,1,0,208,134,122,0.0001265,16092.027000000002,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,parens.word-brackets-plain-v1,parens,text,2. medium,True,reduce-taught-v1,1,1,0,226,131,119,0.0001265,16151.015000000001,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,paths.arc-nest-plain-v1,paths,image,1. easy,True,reduce-infer-v1,4,4,4,5020,452,408,0.000966500,67622.196,1.0,0.5101091635454027,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,paths.arc-nest-plain-v1,paths,image,1. easy,True,reduce-taught-v1,4,4,4,5088,504,460,0.0010140,99767.834,1.0,0.5101091635454027,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,paths.arc-nest-plain-v1,paths,image,2. medium,True,reduce-infer-v1,1,1,1,1255,113,102,0.000241625,16425.742,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,paths.arc-nest-plain-v1,paths,image,2. medium,True,reduce-taught-v1,1,1,1,1272,126,115,0.0002535,17402.128,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.java-v1,pattern,text,1. easy,True,reduce-infer-v1,4,4,4,829,492,449,0.000472625,65240.066,1.0,0.5101091635454027,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.java-v1,pattern,text,1. easy,True,reduce-taught-v1,4,4,2,905,508,462,0.000494125,79590.636,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.java-v1,pattern,text,2. medium,True,reduce-infer-v1,1,1,1,229,120,109,0.000118625,16864.939,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.java-v1,pattern,text,2. medium,True,reduce-taught-v1,1,1,1,248,127,116,0.00012625,16051.036,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.lisp-v1,pattern,text,1. easy,True,reduce-infer-v1,4,4,3,798,509,464,0.000481500,65888.35199999998,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.lisp-v1,pattern,text,1. easy,True,reduce-taught-v1,4,4,2,874,532,487,0.000508250,65801.851,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.lisp-v1,pattern,text,2. medium,True,reduce-infer-v1,1,1,1,215,143,132,0.000134125,16555.751999999997,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.lisp-v1,pattern,text,2. medium,True,reduce-taught-v1,1,1,1,234,117,106,0.000117,16687.624,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.plain-v1,pattern,text,1. easy,True,reduce-infer-v1,4,4,3,798,531,486,0.000498000,66478.153,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.plain-v1,pattern,text,1. easy,True,reduce-taught-v1,4,4,3,874,577,532,0.000542000,65367.852999999996,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.plain-v1,pattern,text,2. medium,True,reduce-infer-v1,1,1,1,215,131,120,0.000125125,16044.647,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.plain-v1,pattern,text,2. medium,True,reduce-taught-v1,1,1,0,234,165,153,0.000153,16437.826999999997,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.python-v1,pattern,text,1. easy,True,reduce-infer-v1,4,4,3,798,538,493,0.000503250,64722.672999999995,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.python-v1,pattern,text,1. easy,True,reduce-taught-v1,4,4,2,874,535,489,0.000510500,65217.618,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.python-v1,pattern,text,2. medium,True,reduce-infer-v1,1,1,1,215,126,120,0.000121375,16058.596000000001,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.python-v1,pattern,text,2. medium,True,reduce-taught-v1,1,1,1,234,148,137,0.00014025,17475.100000000002,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.rust-v1,pattern,text,1. easy,True,reduce-infer-v1,4,4,3,860,531,486,0.000505750,64928.208000000006,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.rust-v1,pattern,text,1. easy,True,reduce-taught-v1,4,4,3,936,533,494,0.000516750,66644.168,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.rust-v1,pattern,text,2. medium,True,reduce-infer-v1,1,1,1,243,131,120,0.000128625,16319.239,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.rust-v1,pattern,text,2. medium,True,reduce-taught-v1,1,1,1,262,130,124,0.00013025,16668.286,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.scheme-v1,pattern,text,1. easy,True,reduce-infer-v1,4,4,2,798,499,453,0.000474000,65207.25400000001,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.scheme-v1,pattern,text,1. easy,True,reduce-taught-v1,4,4,1,874,518,471,0.000497750,65691.409,0.25,0.04558726080970055,0.6993581574175981,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.scheme-v1,pattern,text,2. medium,True,reduce-infer-v1,1,1,1,215,123,112,0.000119125,16261.335,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,pattern.scheme-v1,pattern,text,2. medium,True,reduce-taught-v1,1,1,1,234,138,127,0.00013275,16160.433,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,prose.containment-jitter-v1,prose,text,1. easy,True,reduce-infer-v1,4,4,2,823,437,392,0.000430625,65328.466,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,prose.containment-jitter-v1,prose,text,1. easy,True,reduce-taught-v1,4,4,3,895,468,428,0.000462875,65595.609,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,prose.containment-jitter-v1,prose,text,2. medium,True,reduce-infer-v1,1,1,1,224,115,104,0.00011425,16500.367000000002,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,prose.containment-jitter-v1,prose,text,2. medium,True,reduce-taught-v1,1,1,1,242,107,96,0.0001105,16658.018,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,prose.containment-plain-v1,prose,text,1. easy,True,reduce-infer-v1,4,4,3,823,509,465,0.000484625,65569.957,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,prose.containment-plain-v1,prose,text,1. easy,True,reduce-taught-v1,4,4,4,895,475,431,0.000468125,66560.08,1.0,0.5101091635454027,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,prose.containment-plain-v1,prose,text,2. medium,True,reduce-infer-v1,1,1,1,224,117,106,0.00011575,16122.464999999998,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,prose.containment-plain-v1,prose,text,2. medium,True,reduce-taught-v1,1,1,1,242,122,111,0.00012175,26910.388000000003,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,rooms.plain-v1,rooms,image,1. easy,True,reduce-infer-v1,4,4,0,5056,464,416,0.000980,66608.292,0.0,0.0,0.4898908364545973,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,rooms.plain-v1,rooms,image,1. easy,True,reduce-taught-v1,4,4,4,5128,456,412,0.00098300,66263.38,1.0,0.5101091635454027,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,rooms.plain-v1,rooms,image,2. medium,True,reduce-infer-v1,1,1,0,1264,116,104,0.000245,16773.557,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,rooms.plain-v1,rooms,image,2. medium,True,reduce-taught-v1,1,1,1,1282,114,103,0.00024575,16899.466,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,trees.indent-jitter-v1,trees,text,1. easy,True,reduce-infer-v1,4,4,1,813,436,389,0.000428625,66775.775,0.25,0.04558726080970055,0.6993581574175981,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,trees.indent-jitter-v1,trees,text,1. easy,True,reduce-taught-v1,4,4,3,881,472,428,0.000464125,65413.22,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,trees.indent-jitter-v1,trees,text,2. medium,True,reduce-infer-v1,1,1,1,218,105,94,0.000106,16320.696999999998,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,trees.indent-jitter-v1,trees,text,2. medium,True,reduce-taught-v1,1,1,1,235,131,120,0.000127625,16389.54,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,trees.indent-plain-v1,trees,text,1. easy,True,reduce-infer-v1,4,4,3,802,409,364,0.000407000,65454.957,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,trees.indent-plain-v1,trees,text,1. easy,True,reduce-taught-v1,4,4,3,870,2264,2225,0.001806750,70857.46100000001,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,trees.indent-plain-v1,trees,text,2. medium,True,reduce-infer-v1,1,1,1,219,127,116,0.000122625,16156.721000000001,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,trees.indent-plain-v1,trees,text,2. medium,True,reduce-taught-v1,1,1,1,236,151,140,0.00014275,16869.917,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,trees.plain-v1,trees,image,1. easy,True,reduce-infer-v1,4,4,2,4956,442,396,0.000951000,77524.47200000001,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,trees.plain-v1,trees,image,1. easy,True,reduce-taught-v1,4,4,2,5024,469,423,0.00097975,67100.74900000001,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,trees.plain-v1,trees,image,2. medium,True,reduce-infer-v1,1,1,0,1239,107,95,0.000235125,16637.238,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,low,trees.plain-v1,trees,image,2. medium,True,reduce-taught-v1,1,1,0,1256,116,104,0.000244,16278.517999999998,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,off,biopolymer.rna-arc-plain-v1,biopolymer,image,1. easy,False,reduce-infer-v1,1,1,0,1255,6,0,0.000161375,16716.081,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,off,biopolymer.rna-arc-plain-v1,biopolymer,image,1. easy,False,reduce-taught-v1,1,1,0,1272,6,0,0.0001635,17206.230000000003,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,off,biopolymer.rna-arc-plain-v1,biopolymer,image,1. easy,True,reduce-infer-v1,4,4,4,5020,24,0,0.000645500,66453.798,1.0,0.5101091635454027,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,off,biopolymer.rna-arc-plain-v1,biopolymer,image,1. easy,True,reduce-taught-v1,4,4,4,5088,24,0,0.0006540,67316.742,1.0,0.5101091635454027,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,off,biopolymer.rna-dotbracket-filler-v1,biopolymer,text,1. easy,False,reduce-infer-v1,2,2,0,448,12,0,0.000065000,31636.735,0.0,0.0,0.6576197724933469,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,off,biopolymer.rna-dotbracket-filler-v1,biopolymer,text,1. easy,False,reduce-taught-v1,2,2,2,480,14,0,0.000070500,31351.35,1.0,0.34238022750665303,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,off,biopolymer.rna-dotbracket-filler-v1,biopolymer,text,1. easy,True,reduce-infer-v1,4,4,4,888,24,0,0.000129000,63461.259,1.0,0.5101091635454027,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,off,biopolymer.rna-dotbracket-filler-v1,biopolymer,text,1. easy,True,reduce-taught-v1,4,4,4,952,29,0,0.000140750,64112.205,1.0,0.5101091635454027,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,off,biopolymer.rna-dotbracket-plain-v1,biopolymer,text,1. easy,False,reduce-infer-v1,2,2,1,434,18,0,0.000067750,31797.245000000003,0.5,0.09453120573423074,0.9054687942657693,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,off,biopolymer.rna-dotbracket-plain-v1,biopolymer,text,1. easy,False,reduce-taught-v1,2,2,2,466,14,0,0.000068750,31686.318,1.0,0.34238022750665303,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,off,biopolymer.rna-dotbracket-plain-v1,biopolymer,text,1. easy,True,reduce-infer-v1,4,4,2,864,26,0,0.000127500,64685.943,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,off,biopolymer.rna-dotbracket-plain-v1,biopolymer,text,1. easy,True,reduce-taught-v1,4,4,2,928,36,0,0.000143000,64779.282999999996,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,off,blocks.plain-v1,blocks,image,1. easy,False,reduce-infer-v1,1,1,1,1239,12,0,0.000163875,16780.428,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,off,blocks.plain-v1,blocks,image,1. easy,False,reduce-taught-v1,1,1,0,1259,6,0,0.000161875,18118.591,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,off,blocks.plain-v1,blocks,image,1. easy,True,reduce-infer-v1,4,4,4,4956,24,0,0.000637500,66049.231,1.0,0.5101091635454027,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,off,blocks.plain-v1,blocks,image,1. easy,True,reduce-taught-v1,4,4,4,5036,24,0,0.000647500,65668.756,1.0,0.5101091635454027,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,off,embedding.center-clause-jitter-v1,embedding,text,1. easy,False,reduce-infer-v1,2,2,1,439,23,0,0.000072125,32314.673000000003,0.5,0.09453120573423074,0.9054687942657693,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,off,embedding.center-clause-jitter-v1,embedding,text,1. easy,False,reduce-taught-v1,2,2,2,473,14,0,0.000069625,32235.047,1.0,0.34238022750665303,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,off,embedding.center-clause-jitter-v1,embedding,text,1. easy,True,reduce-infer-v1,4,4,2,871,31,0,0.000132125,63585.386,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,off,embedding.center-clause-jitter-v1,embedding,text,1. easy,True,reduce-taught-v1,4,4,2,939,31,0,0.000140625,63874.945,0.5,0.15003898915214947,0.8499610108478506,1.0
